Order_ID;Date;Racer_ID;Branch_ID;Product_ID;Quantity;Branch_Location;Branch_Launch_Date;Product_Model;Product_Price
ORD02304;2023-04-04 11:43:04;422310;2149;16102;6;Innsbruck;2018-11-21;Hestra Model 33;975.38
ORD02304;2023-04-04 11:43:04;422310;2149;93763;3;Innsbruck;2018-11-21;Smith Model 41;1536.41
ORD02304;2023-04-04 11:43:04;422310;2149;12200;8;Innsbruck;2018-11-21;Head Model 29;2135.68
ORD02304;2023-04-04 11:43:04;422310;2149;14499;2;Innsbruck;2018-11-21;Smith Model 24;1106.76
ORD02304;2023-04-04 11:43:04;422310;2149;43827;3;Innsbruck;2018-11-21;Giro Model 13;615.47
ORD02305;2020-03-19 22:25:36;104468;4346;64045;7;Zurich;2017-04-03;Rossignol Model 33;1365.36
ORD02305;2020-03-19 22:25:36;104468;4346;83969;5;Zurich;2017-04-03;One Way Model 9;523.95
ORD02305;2020-03-19 22:25:36;104468;4346;86820;10;Zurich;2017-04-03;Leki Model 39;1168.75
ORD02306;2019-06-09 21:47:24;512269;7859;86820;7;Oslo;2016-05-16;Leki Model 39;1168.75
ORD02306;2019-06-09 21:47:24;512269;7859;83744;5;Oslo;2016-05-16;Giro Model 44;1910.69
ORD02307;2023-06-27 18:36:21;151238;2149;48467;5;Innsbruck;2018-11-21;Kaestle Model 33;2975.57
ORD02307;2023-06-27 18:36:21;151238;2149;93763;1;Innsbruck;2018-11-21;Smith Model 41;1536.41
ORD02308;2017-01-09 03:32:29;422707;4950;45222;10;Denver;2015-07-09;Stoeckli Model 24;3663.69
ORD02308;2017-01-09 03:32:29;422707;4950;33483;6;Denver;2015-07-09;Nordica Model 7;1414.99
ORD02308;2017-01-09 03:32:29;422707;4950;42745;4;Denver;2015-07-09;Atomic Model 31;-98233.68
ORD02308;2017-01-09 03:32:29;422707;4950;54262;4;Denver;2015-07-09;Leki Model 33;908.2
ORD02309;2020-11-02 00:55:04;54445;7859;93104;8;Oslo;2016-05-16;Nordica Model 12;1417.48
ORD02309;2020-11-02 00:55:04;54445;7859;54131;1;Oslo;2016-05-16;Smith Model 40;1562.11
ORD02309;2020-11-02 00:55:04;54445;7859;12693;4;Oslo;2016-05-16;Nordica Model 28;4214.69
ORD02310;2019-10-24 00:50:42;350097;4950;76557;3;Denver;2015-07-09;One Way Model 6;811.91
ORD02310;2019-10-24 00:50:42;350097;4950;46212;1;Denver;2015-07-09;Burton Model 6;1055.24
ORD02310;2019-10-24 00:50:42;350097;4950;36736;10;Denver;2015-07-09;Hestra Model 2;1254.02
ORD02311;2018-12-02 13:01:50;561310;2149;16776;7;Innsbruck;2018-11-21;POC Model 13;-98208.9
